Date,Time,Favorite,Score,Spread,Underdog,Over/Under
8-5 (61.5%),5-8-0  (38.5%),5-7-0 (41.7%),6-4 (60.0%),4-6-0 (40.0%),1-1-0 (50.0%),7-6-0 (53.8%)
7-9 (43.8%),4-12-0  (25.0%),6-9-0 (40.0%),4-5 (44.4%),2-7-0 (22.2%),4-2-0 (66.7%),7-9-0 (43.8%)
11-5 (68.8%),7-9-0  (43.8%),6-10-0 (37.5%),6-3 (66.7%),3-6-0 (33.3%),3-4-0 (42.9%),8-8-0 (50.0%)
9-7 (56.3%),7-9-0  (43.8%),8-8-0 (50.0%),6-5 (54.5%),5-6-0 (45.5%),3-2-0 (60.0%),5-11-0 (31.3%)
11-5 (68.8%),9-7-0  (56.3%),7-9-0 (43.8%),6-4 (60.0%),5-5-0 (50.0%),2-4-0 (33.3%),7-9-0 (43.8%)
12-4 (75.0%),8-7-1  (53.3%),6-8-1 (42.9%),6-3 (66.7%),4-5-0 (44.4%),2-3-1 (40.0%),10-6-0 (62.5%)
10-4 (71.4%),8-6-0  (57.1%),4-9-0 (30.8%),3-2 (60.0%),2-3-0 (40.0%),2-6-0 (25.0%),6-7-1 (46.2%)
9-4 (69.2%),6-6-1  (50.0%),9-3-1 (75.0%),7-2 (77.8%),6-3-0 (66.7%),3-0-1 (100.%),5-8-0 (38.5%)
7-8 (46.7%),5-9-1  (35.7%),5-9-1 (35.7%),4-6 (40.0%),3-7-0 (30.0%),2-2-1 (50.0%),7-8-0 (46.7%)
7-7 (50.0%),4-10-0  (28.6%),4-10-0 (28.6%),5-5 (50.0%),2-8-0 (20.0%),2-2-0 (50.0%),7-7-0 (50.0%)
7-6 (53.8%),5-9-0  (35.7%),6-8-0 (42.9%),5-3 (62.5%),3-6-0 (33.3%),3-2-0 (60.0%),4-9-1 (30.8%)
10-5 (66.7%),7-8-0  (46.7%),5-10-0 (33.3%),5-4 (55.6%),3-6-0 (33.3%),2-4-0 (33.3%),5-10-0 (33.3%)
8-6 (57.1%),7-7-0  (50.0%),10-5-0 (66.7%),4-2 (66.7%),4-2-0 (66.7%),5-3-0 (62.5%),7-8-0 (46.7%)
8-6 (57.1%),8-6-0  (57.1%),6-8-0 (42.9%),3-3 (50.0%),3-3-0 (50.0%),3-5-0 (37.5%),5-9-0 (35.7%)
12-2 (85.7%),11-3-0  (78.6%),7-7-0 (50.0%),8-2 (80.0%),7-3-0 (70.0%),0-4-0 (0.0%),10-3-1 (76.9%)
11-5 (68.8%),9-7-0  (56.3%),8-8-0 (50.0%),7-4 (63.6%),6-5-0 (54.5%),2-3-0 (40.0%),6-10-0 (37.5%)
10-5 (66.7%),8-7-0  (53.3%),8-8-0 (50.0%),7-3 (70.0%),5-5-0 (50.0%),2-3-0 (40.0%),8-7-1 (53.3%)
13-3 (81.3%),9-7-0  (56.3%),13-3-0 (81.3%),10-2 (83.3%),9-3-0 (75.0%),4-0-0 (100.%),6-9-1 (40.0%)
9-7 (56.3%),6-10-0  (37.5%),9-7-0 (56.3%),4-3 (57.1%),3-4-0 (42.9%),6-3-0 (66.7%),11-4-1 (73.3%)
8-5 (61.5%),6-7-0  (46.2%),6-6-0 (50.0%),7-5 (58.3%),6-6-0 (50.0%),0-0-0,5-8-0 (38.5%)
10-5 (66.7%),8-8-0  (50.0%),9-7-0 (56.3%),4-3 (57.1%),4-3-0 (57.1%),5-4-0 (55.6%),5-11-0 (31.3%)
11-5 (68.8%),8-8-0  (50.0%),8-8-0 (50.0%),9-3 (75.0%),6-6-0 (50.0%),2-2-0 (50.0%),6-10-0 (37.5%)
7-9 (43.8%),5-10-1  (33.3%),6-9-1 (40.0%),3-4 (42.9%),1-5-1 (16.7%),5-4-0 (55.6%),6-9-1 (40.0%)
10-6 (62.5%),7-8-1  (46.7%),7-7-1 (50.0%),7-5 (58.3%),6-6-0 (50.0%),1-1-1 (50.0%),8-8-0 (50.0%)
11-5 (68.8%),6-10-0  (37.5%),5-10-0 (33.3%),7-3 (70.0%),3-7-0 (30.0%),2-3-0 (40.0%),7-9-0 (43.8%)
8-6 (57.1%),7-7-0  (50.0%),7-7-0 (50.0%),4-2 (66.7%),3-3-0 (50.0%),4-4-0 (50.0%),4-10-0 (28.6%)
9-5 (64.3%),7-7-0  (50.0%),7-7-0 (50.0%),7-3 (70.0%),5-5-0 (50.0%),2-2-0 (50.0%),7-7-0 (50.0%)
9-6 (60.0%),7-8-0  (46.7%),6-8-0 (42.9%),6-3 (66.7%),4-5-0 (44.4%),2-3-0 (40.0%),7-7-1 (50.0%)
9-4 (69.2%),3-7-3  (30.0%),7-3-3 (70.0%),4-1 (80.0%),2-2-1 (50.0%),5-1-2 (83.3%),4-9-0 (30.8%)
6-8 (42.9%),5-9-0  (35.7%),7-6-0 (53.8%),5-5 (50.0%),4-6-0 (40.0%),3-0-0 (100.%),7-7-0 (50.0%)
11-3 (78.6%),8-6-0  (57.1%),5-7-0 (41.7%),4-3 (57.1%),3-4-0 (42.9%),2-3-0 (40.0%),8-6-0 (57.1%)
11-5 (68.8%),8-8-0  (50.0%),12-4-0 (75.0%),8-2 (80.0%),7-3-0 (70.0%),5-1-0 (83.3%),8-8-0 (50.0%)
12-2 (85.7%),9-6-0  (60.0%),9-6-0 (60.0%),8-1 (88.9%),6-3-0 (66.7%),3-3-0 (50.0%),7-8-0 (46.7%)
8-5 (61.5%),5-8-0  (38.5%),6-7-0 (46.2%),5-3 (62.5%),3-5-0 (37.5%),3-2-0 (60.0%),7-6-0 (53.8%)
12-4 (75.0%),6-9-1  (40.0%),7-8-1 (46.7%),8-3 (72.7%),4-6-1 (40.0%),3-2-0 (60.0%),8-8-0 (50.0%)
10-6 (62.5%),8-8-0  (50.0%),8-8-0 (50.0%),6-4 (60.0%),5-5-0 (50.0%),3-3-0 (50.0%),6-10-0 (37.5%)
11-4 (73.3%),7-8-0  (46.7%),7-8-0 (46.7%),8-3 (72.7%),5-6-0 (45.5%),2-2-0 (50.0%),7-8-0 (46.7%)
12-4 (75.0%),8-7-1  (53.3%),7-8-1 (46.7%),10-3 (76.9%),6-6-1 (50.0%),1-2-0 (33.3%),7-9-0 (43.8%)
9-4 (69.2%),6-7-0  (46.2%),6-7-0 (46.2%),8-3 (72.7%),5-6-0 (45.5%),1-1-0 (50.0%),6-7-0 (46.2%)
8-8 (50.0%),6-10-0  (37.5%),4-12-0 (25.0%),4-6 (40.0%),2-8-0 (20.0%),2-4-0 (33.3%),3-13-0 (18.8%)
